"OFFENSE_TYPE_ID","OFFENSE_CATEGORY_ID","REPORTED_DATE","INCIDENT_ADDRESS","NEIGHBORHOOD_ID","IS_CRIME","IS_TRAFFIC"
"assault-simple","other-crimes-against-persons","11/26/2017 12:30:00 ","1920 N HIGH ST","city-park-west","true","false"
"theft-of-motor-vehicle","auto-theft","2/12/2017 1:26:00 ","1350 W COLFAX AVE","lincoln-park","true","false"
"traffic-accident","traffic-accident","1/30/2018 6:05:00 ","S DAHLIA ST / E FLORIDA AVE","virginia-village","false","true"
"criminal-mischief-other","public-disorder","4/20/2016 9:40:00 ","170 N GARFIELD ST","cherry-creek","true","false"
"criminal-trespassing","all-other-crimes","1/17/2018 3:11:00 ","9100 PENA BLVD","dia","true","false"
"harassment-stalking-dv","public-disorder","1/31/2018 5:54:00 ","333 W ELLSWORTH AVE","baker","true","false"
"theft-other","larceny","1/29/2018 7:44:00 ","1885 S EMERSON ST","platt-park","true","false"
"theft-parts-from-vehicle","theft-from-motor-vehicle","1/30/2018 9:13:00 ","3205 N RALEIGH ST","west-highland","true","false"
"traffic-accident","traffic-accident","1/30/2018 7:33:00 ","I25 HWYSB / W COLFAX AVE","lincoln-park","false","true"
"traffic-accident-hit-and-run","traffic-accident","3/3/2017 8:25:00 ","700 BLOCK E 2ND AVE","speer","false","true"
"aggravated-assault","aggravated-assault","10/7/2017 1:47:00 ","W 48TH AVE / N TEJON ST","chaffee-park","true","false"
"theft-items-from-vehicle","theft-from-motor-vehicle","4/25/2016 6:45:00 ","2300 BLK S LINCOLN ST","rosedale","true","false"
"traf-vehicular-assault","all-other-crimes","5/25/2017 9:34:00 ",,"dia","true","true"
"drug-methampetamine-possess","drug-alcohol","11/27/2017 9:54:00 ","2000 W COLFAX AVE","lincoln-park","true","false"
"criminal-mischief-mtr-veh","public-disorder","1/30/2018 2:22:00 ","7401 E 1ST AVE","lowry-field","true","false"
"theft-items-from-vehicle","theft-from-motor-vehicle","4/23/2017 12:09:00 ","1975 MILE HIGH STADIUM CIR","jefferson-park","true","false"
"vehicular-eluding-no-chase","all-other-crimes","1/31/2018 12:47:00 ","W 10TH AVE / N WOLFF ST","villa-park","true","false"
"theft-other","larceny","4/4/2017 5:07:00 ","700 BLK N LIPAN ST","lincoln-park","true","false"
"assault-simple","other-crimes-against-persons","1/30/2018 3:38:00 ",,"north-park-hill","true","false"
"assault-simple","other-crimes-against-persons","6/27/2016 1:04:00 ",,"city-park-west","true","false"
"criminal-trespassing","all-other-crimes","1/30/2018 9:41:00 ",,"washington-virginia-vale","true","false"
"theft-parts-from-vehicle","theft-from-motor-vehicle","1/29/2018 6:41:00 ","74 N JULIAN ST","barnum","true","false"
"traffic-accident-hit-and-run","traffic-accident","1/30/2018 4:47:00 ","1680 E COLFAX AVE","cheesman-park","false","true"
"traffic-accident","traffic-accident","1/30/2018 10:03:00 ","600 BLOCK S DOWNING ST","washington-park","false","true"
"threats-to-injure","public-disorder","1/30/2018 10:34:00 ",,"sunnyside","true","false"
"robbery-street","robbery","1/30/2018 9:54:00 ",,"lincoln-park","true","false"
"criminal-mischief-other","public-disorder","1/30/2018 10:06:00 ","436 S OSCEOLA ST","westwood","true","false"
"theft-items-from-vehicle","theft-from-motor-vehicle","8/24/2017 5:35:00 ","2700 BLOCK W 23RD AVE","jefferson-park","true","false"
"public-order-crimes-other","all-other-crimes","1/29/2018 5:00:00 ","1499 N BROADWAY ST","civic-center","true","false"
"drug-synth-narcotic-possess","drug-alcohol","1/30/2018 11:53:00 ","E 40TH AVE / N COLORADO BLVD","northeast-park-hill","true","false"
"theft-shoplift","larceny","1/30/2018 5:21:00 ","8270 E NORTHFIELD BLVD","stapleton","true","false"
"traffic-accident","traffic-accident","1/27/2018 3:25:00 ","W JEWELL AVE / S FEDERAL BLVD","harvey-park","false","true"
"burglary-residence-by-force","burglary","1/31/2018 2:57:00 ","1214 E 5TH AVE","country-club","true","false"
"criminal-mischief-other","public-disorder","5/21/2016 12:17:00 ","1011 S VALENTIA ST","windsor","true","false"
"burglary-business-no-force","burglary","1/30/2018 10:52:00 ","1001 16TH ST","cbd","true","false"
"theft-items-from-vehicle","theft-from-motor-vehicle","9/29/2017 9:43:00 ","2424 DELGANY ST","five-points","true","false"
"theft-parts-from-vehicle","theft-from-motor-vehicle","1/29/2018 9:50:00 ","2646 W 13TH AVE","sun-valley","true","false"
"contraband-into-prison","all-other-crimes","1/30/2018 6:26:00 ","490 W COLFAX AVE","civic-center","true","false"
"theft-items-from-vehicle","theft-from-motor-vehicle","1/29/2018 10:30:00 ","3077 S DEXTER WAY","university-hills","true","false"
"traffic-accident","traffic-accident","1/30/2018 7:33:00 ","2100 BLOCK S GRAPE ST","goldsmith","false","true"
"traf-other","all-other-crimes","1/30/2018 4:54:00 ","E 17TH AVE / N YORK ST","city-park-west","true","false"
"theft-of-motor-vehicle","auto-theft","5/2/2016 7:44:00 ",,"virginia-village","true","false"
"assault-simple","other-crimes-against-persons","1/30/2018 11:59:00 ",,"sun-valley","true","false"
"public-order-crimes-other","all-other-crimes","1/31/2018 7:08:00 ","E 20TH AVE / N CLARKSON ST","five-points","true","false"
"theft-from-bldg","larceny","6/3/2016 10:40:00 ","951 S HOLLY ST","washington-virginia-vale","true","false"
"criminal-mischief-mtr-veh","public-disorder","1/31/2018 3:51:00 ","1200 BLK W 44TH AVE","sunnyside","true","false"
"traf-other","all-other-crimes","1/30/2018 1:08:00 ","N ABILENE ST / N CROWN BLVD","montbello","true","false"
"theft-of-motor-vehicle","auto-theft","5/15/2016 8:09:00 ","E 37TH AVE / N TROY ST","stapleton","true","false"
"burglary-residence-by-force","burglary","1/30/2018 2:46:00 ","3020 E OHM WAY","belcaro","true","false"
"theft-from-bldg","larceny","5/19/2016 2:56:00 ","777 N BANNOCK ST","lincoln-park","true","false"
"criminal-mischief-graffiti","public-disorder","1/30/2018 4:29:00 ","1617 E COLFAX AVE","city-park-west","true","false"
"traffic-accident","traffic-accident","1/29/2018 10:14:00 ","3900 BLK N STEELE ST","clayton","false","true"
"drug-heroin-possess","drug-alcohol","1/31/2018 1:53:00 ","N YOSEMITE ST / E COLFAX AVE","east-colfax","true","false"
"assault-simple","other-crimes-against-persons","1/30/2018 6:13:00 ","1350 N FILLMORE ST","congress-park","true","false"
"robbery-street","robbery","1/30/2018 12:32:00 ","1000 BLK S JOSEPHINE ST","belcaro","true","false"
"traf-other","all-other-crimes","1/30/2018 9:23:00 ","600 BLOCK N OSCEOLA ST","villa-park","true","false"
"theft-items-from-vehicle","theft-from-motor-vehicle","9/21/2017 10:28:00 ","1255 N GALAPAGO ST","lincoln-park","true","false"
"theft-items-from-vehicle","theft-from-motor-vehicle","2/24/2017 2:22:00 ","1620 PLATTE ST","highland","true","false"
"theft-shoplift","larceny","5/18/2016 7:36:00 ","6460 E YALE AVE","hampden","true","false"
"traf-other","all-other-crimes","1/30/2018 9:52:00 ","E 51ST AVE / N EMERSON ST","globeville","true","false"
"drug-poss-paraphernalia","drug-alcohol","1/30/2018 8:19:00 ","1500 BLOCK N PEARL ST / N PENNSYLVANIA ST","north-capitol-hill","true","false"
"burglary-residence-no-force","burglary","1/30/2018 5:50:00 ","4676 N QUITMAN ST","berkeley","true","false"
"theft-shoplift","larceny","1/28/2018 8:54:00 ","401 16TH ST","cbd","true","false"
"criminal-mischief-mtr-veh","public-disorder","1/30/2018 11:02:00 ","140 S BROADWAY ST","speer","true","false"
"traffic-accident","traffic-accident","1/30/2018 4:00:00 ",,"hilltop","false","true"
"criminal-mischief-other","public-disorder","1/30/2018 2:56:00 ",,"west-highland","true","false"
"theft-other","larceny","1/29/2018 4:28:00 ","890 AURARIA PKWY","auraria","true","false"
"traf-other","all-other-crimes","1/30/2018 8:11:00 ","W 26TH AVE / N FEDERAL BLVD","sloan-lake","true","false"
"theft-shoplift","larceny","1/30/2018 2:26:00 ","323 S BROADWAY ST","baker","true","false"
"traf-habitual-offender","all-other-crimes","1/30/2018 5:00:00 ","W KENTUCKY AVE / S IRVING ST","westwood","true","false"
"theft-shoplift","larceny","4/30/2016 5:03:00 ","2860 S COLORADO BLVD","university-hills","true","false"
"theft-other","larceny","1/30/2018 1:53:00 ",,"west-colfax","true","false"
"criminal-mischief-mtr-veh","public-disorder","5/5/2016 10:10:00 ","2773 S FRANKLIN ST","university","true","false"
"theft-bicycle","larceny","1/30/2018 3:59:00 ","2848 N ROSLYN ST","stapleton","true","false"
"criminal-trespassing","all-other-crimes","4/24/2016 10:36:00 ","16199 E GVR BLVD","gateway-green-valley-ranch","true","false"
"traf-other","all-other-crimes","1/30/2018 9:34:00 ","E ALAMEDA AVE / S GAYLORD ST","washington-park","true","false"
"burglary-business-by-force","burglary","1/30/2018 8:54:00 ","1516 N XAVIER ST","west-colfax","true","false"
"assault-simple","other-crimes-against-persons","1/30/2018 5:22:00 ",,"montbello","true","false"
"violation-of-restraining-order","all-other-crimes","1/30/2018 8:30:00 ",,"hampden","true","false"
"criminal-mischief-other","public-disorder","4/23/2016 7:25:00 ","156 N COLORADO BLVD","hilltop","true","false"
"criminal-trespassing","all-other-crimes","4/20/2016 7:16:00 ","440O S QUEBEC ST","windsor","true","false"
"weapon-poss-illegal-dangerous","all-other-crimes","1/30/2018 6:31:00 ",,"washington-virginia-vale","true","false"
"burglary-business-by-force","burglary","1/30/2018 7:24:00 ","160 N MILWAUKEE ST","cherry-creek","true","false"
"burglary-residence-no-force","burglary","1/30/2018 2:58:00 ","5793 N CHESTER WAY","stapleton","true","false"
"liquor-possession","drug-alcohol","1/30/2018 5:50:00 ","1200 BLOCK 26TH ST","five-points","true","false"
"theft-of-motor-vehicle","auto-theft","3/1/2017 5:32:00 ","900 BLOCK N NAVAJO ST","lincoln-park","true","false"
"criminal-mischief-other","public-disorder","1/31/2018 2:49:00 ","2500 WALNUT ST","five-points","true","false"
"theft-of-motor-vehicle","auto-theft","1/30/2018 4:41:00 ","2100 BLK S UNIVERSITY BLVD","university-park","true","false"
"criminal-trespassing","all-other-crimes","1/29/2018 12:57:00 ","1055 10TH ST","auraria","true","false"
"criminal-mischief-mtr-veh","public-disorder","1/30/2018 11:20:00 ","2889 W 10TH AVE","sun-valley","true","false"
"public-order-crimes-other","all-other-crimes","1/30/2018 8:30:00 ",,"hampden","true","false"
"traffic-accident","traffic-accident","1/30/2018 10:33:00 ","I70 HWYWB / I25 HWYSB","globeville","false","true"
"traf-other","all-other-crimes","1/30/2018 5:46:00 ","W BAYAUD AVE / S BROADWAY ST","baker","true","false"
"traf-other","all-other-crimes","1/31/2018 5:08:00 ","4800 BLOCK N FEDERAL BLVD","sunnyside","true","false"
"theft-shoplift","larceny","1/30/2018 3:43:00 ","4100 E MEXICO AVE","virginia-village","true","false"
"threats-to-injure","public-disorder","1/30/2018 10:37:00 ","7600 BLK E COLFAX AVE","east-colfax","true","false"
"theft-other","larceny","9/8/2017 12:51:00 ","W 6TH AVE / N SHERIDAN BLVD","villa-park","true","false"
"robbery-street","robbery","1/30/2018 10:39:00 ","8600 BLK E COLFAX AVE","east-colfax","true","false"
"public-order-crimes-other","all-other-crimes","1/30/2018 12:20:00 ","W 17TH AVE / N SHERIDAN BLVD","west-colfax","true","false"
"traffic-accident","traffic-accident","1/30/2018 9:20:00 ","LARIMER ST / 15TH ST","union-station","false","true"
"theft-from-bldg","larceny","1/30/2018 6:40:00 ","634 16TH ST","cbd","true","false"
"disturbing-the-peace","public-disorder","1/30/2018 10:37:00 ","7600 BLK E COLFAX AVE","east-colfax","true","false"
"traffic-accident-hit-and-run","traffic-accident","1/30/2018 9:46:00 ","700 BLOCK 14TH ST","cbd","false","true"
"traffic-accident","traffic-accident","1/30/2018 5:05:00 ","I270 HWYEB / I70 HWYEB","stapleton","false","true"
"criminal-mischief-other","public-disorder","1/30/2018 10:54:00 ","2701 LARIMER ST","five-points","true","false"
"traffic-accident-dui-duid","traffic-accident","1/31/2018 1:56:00 ","20TH ST / CHESTNUT PL","union-station","false","true"
"traffic-accident","traffic-accident","1/30/2018 5:07:00 ","15200 BLOCK E MAXWELL PL","montbello","false","true"
"theft-items-from-vehicle","theft-from-motor-vehicle","1/30/2018 9:58:00 ","9888 E VASSAR DR","hampden","true","false"
"sex-off-fail-to-register","all-other-crimes","1/30/2018 1:38:00 ","1331 N CHEROKEE ST","civic-center","true","false"
"traffic-accident-hit-and-run","traffic-accident","1/30/2018 11:41:00 ","5100 BLOCK N FONTANA CT","montbello","false","true"
"criminal-mischief-other","public-disorder","12/22/2017 9:55:00 ","19749 E 47TH DR","gateway-green-valley-ranch","true","false"
"traffic-accident","traffic-accident","1/30/2018 8:04:00 ",,"mar-lee","false","true"
"burglary-business-by-force","burglary","1/30/2018 6:28:00 ","2860 S FEDERAL BLVD","college-view-south-platte","true","false"
"weapon-by-prev-offender-powpo","all-other-crimes","1/30/2018 2:56:00 ","20595 E 47TH AVE","gateway-green-valley-ranch","true","false"
"traffic-accident","traffic-accident","1/30/2018 3:56:00 ","S HUDSON ST / E YALE AVE","hampden","false","true"
"theft-of-services","larceny","5/21/2016 3:30:00 ","1890 E EVANS AVE","university","true","false"
"aggravated-assault","aggravated-assault","3/14/2017 10:22:00 ","19TH ST / PLATTE ST","highland","true","false"
"theft-parts-from-vehicle","theft-from-motor-vehicle","1/30/2018 11:57:00 ","10515 E 40TH AVE","stapleton","true","false"
"traf-other","all-other-crimes","1/30/2018 5:46:00 ","2000 BLOCK N FEDERAL BLVD","jefferson-park","true","false"
"theft-other","larceny","1/29/2018 8:07:00 ","3470 PARK AVEW","globeville","true","false"
"theft-items-from-vehicle","theft-from-motor-vehicle","4/12/2016 9:38:00 ","5001 S ULSTER ST","hampden-south","true","false"
"theft-parts-from-vehicle","theft-from-motor-vehicle","1/30/2018 6:04:00 ","8354 E NORTHFIELD BLVD","stapleton","true","false"
"theft-parts-from-vehicle","theft-from-motor-vehicle","1/30/2018 9:19:00 ","670 N WINONA CT","villa-park","true","false"
"criminal-mischief-other","public-disorder","1/30/2018 1:09:00 ","3251 W AVONDALE DR","west-colfax","true","false"
"theft-items-from-vehicle","theft-from-motor-vehicle","8/21/2017 9:24:00 ","2027 W COLFAX AVE","lincoln-park","true","false"
"theft-other","larceny","10/12/2017 1:18:00 ","780 N DELAWARE ST","lincoln-park","true","false"
"traffic-accident","traffic-accident","1/31/2018 5:12:00 ","W 4TH AVE / N CHEROKEE ST","baker","false","true"
"theft-from-bldg","larceny","1/24/2017 8:46:00 ","4500 N WASHINGTON ST","globeville","true","false"
"threats-to-injure","public-disorder","6/30/2017 12:30:00 ","103 S OGDEN ST","speer","true","false"
"drug-poss-paraphernalia","drug-alcohol","1/31/2018 8:38:00 ","1100 BLOCK 22ND ST","five-points","true","false"
"sex-aslt-non-rape","sexual-assault","1/31/2018 6:07:00 ",,"capitol-hill","true","false"
"traf-other","all-other-crimes","1/31/2018 10:02:00 ","2300 BLOCK E BRUCE RANDOLPH AVE","clayton","true","false"
"theft-other","larceny","7/11/2016 12:50:00 ","222 N MILWAUKEE ST","cherry-creek","true","false"
"drug-methampetamine-possess","drug-alcohol","1/30/2018 3:51:00 ","1000 BLOCK S IRVING ST","westwood","true","false"
"aggravated-assault","aggravated-assault","1/31/2018 8:28:00 ","5701 E MLK BLVD","northeast-park-hill","true","false"
"theft-of-motor-vehicle","auto-theft","1/31/2018 2:08:00 ","1600 BLOCK N LINCOLN ST","north-capitol-hill","true","false"
"burglary-residence-no-force","burglary","1/31/2018 8:46:00 ","1973 S PENNSYLVANIA ST","platt-park","true","false"
"traffic-accident-hit-and-run","traffic-accident","1/31/2018 9:46:00 ","1515 CHAMPA ST","cbd","false","true"
"theft-items-from-vehicle","theft-from-motor-vehicle","1/31/2018 10:21:00 ","1350 N GRANT ST","capitol-hill","true","false"
"traf-other","all-other-crimes","1/31/2018 2:03:00 ","11000 BLOCK E 40TH AVE","stapleton","true","false"
"threats-to-injure","public-disorder","2/1/2018 3:03:00 ","1962 E COLFAX AVE","cheesman-park","true","false"
"traffic-accident","traffic-accident","1/31/2018 3:05:00 ","E 31ST AVE / N RACE ST","whittier","false","true"
"traffic-accident","traffic-accident","1/31/2018 6:38:00 ","I70 HWYWB / N HAVANA ST","stapleton","false","true"
"violation-of-court-order","all-other-crimes","1/31/2018 9:30:00 ","1022 N PEARL ST","capitol-hill","true","false"
"drug-cocaine-possess","drug-alcohol","2/1/2018 12:45:00 ","E COLFAX AVE / N SPRUCE ST","east-colfax","true","false"
"traf-other","all-other-crimes","1/31/2018 6:12:00 ","E ELK PL / N TULSA CT","montbello","true","false"
"drug-heroin-sell","drug-alcohol","1/31/2018 4:13:00 ","1400 BLK N BROADWAY ST","capitol-hill","true","false"
"criminal-mischief-other","public-disorder","7/6/2016 6:21:00 ","9655 E 5TH AVE","lowry-field","true","false"
"disturbing-the-peace","public-disorder","6/29/2017 8:52:00 ","4403 S TAMARAC ST","hampden-south","true","false"
"theft-items-from-vehicle","theft-from-motor-vehicle","5/24/2017 7:26:00 ","3942 N JERICHO ST","gateway-green-valley-ranch","true","false"
"traffic-accident-hit-and-run","traffic-accident","1/30/2018 9:04:00 ","I70 HWYEB / N HAVANA ST","stapleton","false","true"
"theft-of-motor-vehicle","auto-theft","1/31/2018 4:45:00 ","I25 HWYSB / I225 HWYNB","hampden-south","true","false"
"theft-shoplift","larceny","7/5/2017 10:27:00 ","6440 E YALE AVE","hampden","true","false"
"theft-parts-from-vehicle","theft-from-motor-vehicle","1/29/2018 10:45:00 ","3600 BLK W RADCLIFF AVE","fort-logan","true","false"
"traffic-accident","traffic-accident","1/31/2018 5:12:00 ","N MONACO ST / I70 HWYEB","northeast-park-hill","false","true"
"assault-simple","other-crimes-against-persons","1/31/2018 4:55:00 ",,"montbello","true","false"
"traffic-accident-hit-and-run","traffic-accident","1/31/2018 3:16:00 ","N QUEBEC ST / E 8TH AVE","montclair","false","true"
"theft-items-from-vehicle","theft-from-motor-vehicle","2/1/2018 7:43:00 ","3839 N LOWELL BLVD","berkeley","true","false"
"criminal-trespassing","all-other-crimes","1/31/2018 12:31:00 ",,"west-colfax","true","false"
"traffic-accident","traffic-accident","1/31/2018 4:15:00 ","E 31ST AVE / N YORK ST","skyland","false","true"
"traf-other","all-other-crimes","1/31/2018 3:15:00 ","4700 BLK N PEORIA ST","montbello","true","false"
"drug-heroin-sell","drug-alcohol","1/31/2018 10:35:00 ","4200 N TEJON ST","sunnyside","true","false"
"theft-other","larceny","1/31/2018 9:50:00 ","2425 N BROADWAY ST","five-points","true","false"
"traf-other","all-other-crimes","1/31/2018 3:11:00 ","2600 BLOCK N IRVING ST","sloan-lake","true","false"
"traffic-accident","traffic-accident","1/31/2018 3:24:00 ","18700 BLK E ROBINS DR","gateway-green-valley-ranch","false","true"
"aggravated-assault","aggravated-assault","1/31/2018 7:06:00 ","4300 BLOCK N LIPAN ST","sunnyside","true","false"
"sex-aslt-non-rape","sexual-assault","1/29/2018 4:40:00 ",,"bear-valley","true","false"
"theft-of-motor-vehicle","auto-theft","2/1/2018 6:47:00 ","100 BLK S UTICA ST","barnum-west","true","false"
"theft-bicycle","larceny","1/31/2018 2:19:00 ","2905 N INCA ST","five-points","true","false"
"theft-parts-from-vehicle","theft-from-motor-vehicle","2/1/2018 4:01:00 ","800 BLK 24TH ST","five-points","true","false"
"traffic-accident","traffic-accident","1/31/2018 11:01:00 ","1300 BLOCK N JERSEY ST","montclair","false","true"
"burglary-residence-no-force","burglary","1/31/2018 11:46:00 ","1872 N RACE ST","city-park-west","true","false"
"drug-fraud-to-obtain","drug-alcohol","4/27/2017 12:49:00 ","2975 N FEDERAL BLVD","west-highland","true","false"
"traffic-accident","traffic-accident","1/31/2018 11:19:00 ",,"highland","false","true"
"assault-police-simple","other-crimes-against-persons","1/28/2018 4:26:00 ","14000 BLK E MAXWELL PL","montbello","true","false"
"theft-items-from-vehicle","theft-from-motor-vehicle","1/31/2018 10:11:00 ","2828 N ZUNI ST","highland","true","false"
"traffic-accident","traffic-accident","1/31/2018 7:22:00 ","N LINCOLN ST / E 18TH AVE","north-capitol-hill","false","true"
"assault-dv","other-crimes-against-persons","1/31/2018 11:35:00 ","1701 WELTON ST","cbd","true","false"
"theft-of-services","larceny","7/5/2017 12:55:00 ","4996 E HAMPDEN AVE","southmoor-park","true","false"
"violation-of-restraining-order","all-other-crimes","1/30/2018 8:06:00 ","7777 E 23RD AVE","stapleton","true","false"
"public-order-crimes-other","all-other-crimes","1/31/2018 8:52:00 ","1501 N BROADWAY ST","cbd","true","false"
"public-order-crimes-other","all-other-crimes","2/1/2018 3:02:00 ","1501 N BROADWAY ST","cbd","true","false"
"drug-methampetamine-possess","drug-alcohol","1/31/2018 3:32:00 ","W 14TH AVE / N FEDERAL BLVD","sun-valley","true","false"
"theft-items-from-vehicle","theft-from-motor-vehicle","1/31/2018 12:06:00 ","7415 E 41ST AVE","stapleton","true","false"
"assault-police-simple","other-crimes-against-persons","1/31/2018 9:44:00 ","2100 S CLAY ST","college-view-south-platte","true","false"
"traffic-accident","traffic-accident","1/31/2018 1:31:00 ","N COLORADO BLVD / E 48TH AVE","elyria-swansea","false","true"
"assault-simple","other-crimes-against-persons","7/14/2016 9:57:00 ","6000 E ILIFF AVE","goldsmith","true","false"
"vehicular-eluding-no-chase","all-other-crimes","1/31/2018 8:49:00 ","3100 BLK W ARIZONA AVE","mar-lee","true","false"
"littering","all-other-crimes","6/30/2017 10:10:00 ","100 BLK S QUEBEC ST","lowry-field","true","false"
"vehicular-eluding-no-chase","all-other-crimes","2/1/2018 12:43:00 ","1000 E COLFAX AVE","capitol-hill","true","false"
"traf-other","all-other-crimes","1/31/2018 9:18:00 ","900 BLOCK N FEDERAL BLVD","sun-valley","true","false"
"criminal-trespassing","all-other-crimes","8/8/2016 9:42:00 ","1630 N IVANHOE ST","south-park-hill","true","false"
"traffic-accident-hit-and-run","traffic-accident","2/1/2018 12:24:00 ","140O BLOCK E 13TH AVE","capitol-hill","false","true"
"assault-simple","other-crimes-against-persons","2/1/2018 1:50:00 ",,"elyria-swansea","true","false"
"theft-from-bldg","larceny","1/31/2018 5:29:00 ","1920 17TH ST","union-station","true","false"
"aggravated-assault-dv","aggravated-assault","1/31/2018 11:56:00 ","11200 E DARTMOUTH AVE","kennedy","true","false"
